Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible
1016910;ZSSD;CINTA METRICA X10MT CON PASACINTO;378;RE;5;5;FERRETERIA;3;;3;60,00%
1015788;ZSSD;DESODORANTE LÍQUIDO PARA PISO X 5 LTS;378;RE;12;12;LIMPIEZA;8;;8;66,67%
1058841;ZSCD;CEPILLO PIPELINE ACERO 44T 178X6X22,23MM;378;RE;20;20;FERRETERIA;;15;15;75,00%
1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;378;RE;282;282;SEGURIDAD;50;182;232;82,27%
1015866;ZSSD;TRAPO DE PISO X UN;378;RE;23;23;LIMPIEZA;19;;19;82,61%
1017243;ZSSD;BOTA PETROLERA N 42;378;RE;15;15;SEGURIDAD;12;2;14;93,33%
1001778;ZSTO;YERBA MATE X 500GRS X UN;378;RE;79;79;ALIMENTOS;14;60;74;93,67%
1001678;ZSTO;FICHA T.STECK HEMBRA 220V 16A 2P T X UN;378;RE;22;22;ELECTRICIDAD;18;4;22;100,00%
1001686;ZSTO;ANTEOJO GRIS;378;RE;253;253;SEGURIDAD;;253;253;100,00%
1001676;ZSTO;CLAVOS P.PARIS 2 1 2 XKG;378;RE;35;35;ACEROS;10;25;35;100,00%
1002071;ZSTO;CAMPERA DESCARNE T.XXXL;378;RE;13;13;SEGURIDAD;;13;13;100,00%
1002063;ZSTO;CAMPERA DESCARNE T.XL;378;RE;24;24;SEGURIDAD;;24;24;100,00%
1001970;ZSTO;ESMALTE SINT. AEROSOL NEGRO X440CC;378;RE;24;24;PINTURAS;;24;24;100,00%
1001969;ZSTO;ESMALTE SINT. AEROSOL BLANCO X440CC;378;RE;28;28;PINTURAS;;28;28;100,00%
1001923;ZSTO;AGROPOL 100 MIC 4X50MTS;378;RE;5;5;FERRETERIA;;5;5;100,00%
1001931;ZSTO;DISCO LIJA ESMERIL 178x22 GRANO 36;378;RE;200;200;FERRETERIA;;200;200;100,00%
1001927;ZSTO;DISCO CORTE 178X1.6X22 SECUR EXTRA  x UN;378;RE;320;320;FERRETERIA;;320;320;100,00%
1001904;ZSTO;DETERGENTE X 5 LTS;378;RE;9;9;LIMPIEZA;;9;9;100,00%
1001893;ZSTO;BOLSARESIDUPLASTICA60X90NEGRAXROLLOX10UN;378;RE;150;150;LIMPIEZA;;150;150;100,00%
1001881;ZSTO;MARCADOR INDUSTRIAL - ROJO UNIPAINT X UN;378;RE;24;24;LIBRERIA;;24;24;100,00%
1001878;ZSTO;CINTA DE ENMASCARAR 48MM X ROLLO;378;RE;14;14;LIBRERIA;;14;14;100,00%
1001949;ZSTO;CANDADO 30MM XUN;378;RE;9;9;FERRETERIA;;9;9;100,00%
1001687;ZSTO;ANTEOJO INCOLORO;378;RE;109;109;SEGURIDAD;;109;109;100,00%
1001726;ZSTO;SUSPENSION CREMALLERA;378;RE;33;33;SEGURIDAD;;33;33;100,00%
1001709;ZSTO;CINTA PELIGRO 200 MT ROJA BLANCA NYLON;378;RE;5;5;SEGURIDAD;;5;5;100,00%
1046627;ZSTO;AEROSOL DESINFECTANTE ANTIBACT. 360 ML;378;RE;35;35;LIMPIEZA;35;;35;100,00%
1001963;ZSTO;CINTA AISLADORA VERDE X10MT;378;RE;7;7;FERRETERIA;7;;7;100,00%
1001962;ZSTO;CINTA AISLADORA ROJA X10MT;378;RE;6;6;FERRETERIA;6;;6;100,00%
1013681;ZSSD;MAMELUCO IGNIFUGO T.XL C/LOGO;378;RE;20;20;SEGURIDAD;;20;20;100,00%
1013680;ZSSD;MAMELUCO IGNIFUGO T.L C/LOGO;378;RE;20;20;SEGURIDAD;;20;20;100,00%
1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;378;RE;25;25;FERRETERIA;24;1;25;100,00%
1001699;ZSTO;CASCO CARCAZA BLANCO;378;RE;29;29;SEGURIDAD;;29;29;100,00%
1001950;ZSTO;CANDADO 38-40MM XUN;378;RE;8;8;FERRETERIA;;8;8;100,00%
1001934;ZSTO;DISCO C D O A 114X4.8X22.2 SECUR x UN;378;RE;112;112;FERRETERIA;;112;112;100,00%
1001933;ZSTO;DISCO 114x1,6x222 REFORZADO x UN;378;RE;71;71;FERRETERIA;;71;71;100,00%
1001926;ZSTO;DISCO CORTE 114X3.2X22.23 TYROLIT S x UN;378;RE;100;100;FERRETERIA;;100;100;100,00%
1001747;ZSTO;BOTA GOMA P.ACERO N 43;378;RE;16;16;SEGURIDAD;;16;16;100,00%
1001727;ZSTO;PROTECTOR AUDITIVO COPA P/CASCO;378;RE;34;34;SEGURIDAD;;34;34;100,00%
1001877;ZSTO;CINTA EMBALAR MARRON 48MM X 100 MT;378;RE;24;24;LIBRERIA;;24;24;100,00%
1001943;ZSTO;ADHESIVO CIANO 20 G XUN;378;RE;11;11;FERRETERIA;;11;11;100,00%
1001876;ZSTO;CINTA EMBALAR TRANSPARENTE 48MM X 100 MT;378;RE;30;30;LIBRERIA;;30;30;100,00%
1002090;ZSTO;CAPA DE LLUVIA T.XL;378;RE;11;11;ROPA;;11;11;100,00%
1001869;ZSTO;MARCADORINDUSTRIAL-AMARILLOXUN;378;RE;24;24;LIBRERIA;;24;24;100,00%
1001971;ZSTO;ESMALTE SINT. AEROSOL ROJO X 440CC;378;RE;25;25;PINTURAS;22;3;25;100,00%
1017055;ZSSD;ZAPATILLA ELECTRICA 6 TOMAS C CABLE 3M;378;RE;10;10;ELECTRICIDAD;3;7;10;100,00%
1001718;ZSTO;RODILLERA SOLDADOR;378;RE;10;10;SEGURIDAD;6;4;10;100,00%
1016982;ZSSD;FOLIO A4 ST X100;378;RE;4;4;LIBRERIA;2;2;4;100,00%
1001960;ZSTO;CINTA AISLADORA AMARILLO X10MT;378;RE;12;12;FERRETERIA;11;1;12;100,00%
1001952;ZSTO;TRAPO LIMPIO (BOLSAX10KG) XUN;378;RE;12;12;FERRETERIA;5;7;12;100,00%
1001745;ZSTO;BOTA GOMA P.ACERO N 41;378;RE;17;17;SEGURIDAD;4;13;17;100,00%
1001903;ZSTO;LAVANDINA X 5 LTS;378;RE;18;18;LIMPIEZA;7;11;18;100,00%
1001872;ZSTO;RESMA DE HOJA A3 75GR. X UN;378;RE;10;10;LIBRERIA;1;9;10;100,00%
1001868;ZSTO;FILMSTRECHMANUALXBOBINAx2,70KG;378;RE;17;17;LIBRERIA;6;11;17;100,00%
1001815;ZSTO;AGUA DESMINERALIZADA X 20L;378;RE;20;20;LUBRICANTES;3;17;20;100,00%
1001774;ZSTO;ESLINGA SINTETICA 4MTS 4TN CERTIFICADA;378;RE;8;8;SEGURIDAD;5;3;8;100,00%
1001744;ZSTO;BOTA GOMA P.ACERO N 40;378;RE;8;8;SEGURIDAD;5;3;8;100,00%
1001871;ZSTO;RESMA DE HOJA A4 70GR. X UN;378;RE;40;40;LIBRERIA;;40;40;100,00%
1001895;ZSTO;ALCOHOL LIQUIDO X LITRO;378;RE;14;14;LIMPIEZA;6;8;14;100,00%
1001993;ZSTO;ELECTRODO AWS7018 X 3,25 MM X KG;378;RE;80;80;SOLDADURA;28;52;80;100,00%
1017244;ZSSD;BOTA PETROLERA N 43;378;RE;14;14;SEGURIDAD;11;3;14;100,00%
1002091;ZSTO;CAPA DE LLUVIA T.XXL;378;RE;43;43;ROPA;30;13;43;100,00%
1001867;ZSTO;MARCADOR INDUSTRIAL-BLANCOXUN;378;RE;42;42;LIBRERIA;;42;42;100,00%
1001866;ZSTO;MARCADOR INDUSTRIAL-NEGROXUN;378;RE;24;24;LIBRERIA;;24;24;100,00%
1001777;ZSTO;ESLINGA SINTETICA 6MTS 4TN CERTIFICADA;378;RE;8;8;SEGURIDAD;;8;8;100,00%
